ID,Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
85,1,27.25,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth,200,0,0
86,1,37.17,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans,280,0,0
87,1,28.46,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans,928,0,0
88,1,25.67,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth,188,0,0
89,1,34.0,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth,240,0,0
90,0,49.0,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth,100,27,0
91,1,62.5,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth,112,0,0
92,1,31.42,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth,120,0,0
93,1,28.46,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth,0,0,0
94,1,52.33,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth,200,100,0
95,1,28.75,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth,0,225,0
96,0,28.58,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth,171,0,0
97,1,23.0,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth,180,1,0
98,1,28.46,0.5,1,1,Energy,Asian,0.835,1,0,0,1,ByOtherMeans,320,0,0
99,0,22.5,11.0,0,0,Materials,White,3.0,1,0,0,1,ByBirth,268,0,0
100,0,28.5,1.0,1,1,Materials,White,1.0,1,1,2,1,ByBirth,167,500,0
101,1,37.5,1.75,0,0,Energy,Asian,0.25,1,0,0,1,ByBirth,164,400,0
102,1,35.25,16.5,0,0,Energy,White,4.0,1,0,0,0,ByBirth,80,0,0
103,1,18.67,5.0,1,1,Materials,White,0.375,1,1,2,0,ByBirth,0,38,0
104,1,25.0,12.0,1,1,Financials,White,2.25,1,1,2,1,ByBirth,120,5,0
105,1,27.83,4.0,0,0,ConsumerDiscretionary,Black,5.75,1,1,2,1,ByBirth,75,0,0
106,1,54.83,15.5,1,1,Education,Other,0.0,1,1,20,0,ByBirth,152,130,0
107,1,28.75,1.165,1,1,Financials,White,0.5,1,0,0,0,ByOtherMeans,280,0,0
108,0,25.0,11.0,0,0,ConsumerStaples,White,4.5,1,0,0,0,ByBirth,120,0,0
109,1,40.92,2.25,0,0,Utilities,Black,10.0,1,0,0,1,ByBirth,176,0,0
110,0,19.75,0.75,1,1,Energy,White,0.795,1,1,5,1,ByBirth,140,5,0
111,1,29.17,3.5,1,1,Industrials,White,3.5,1,1,3,1,ByBirth,329,0,0
112,0,24.5,1.04,0,0,Healthcare,Latino,0.5,1,1,3,0,ByBirth,180,147,0
113,1,24.58,12.5,1,1,Industrials,White,0.875,1,0,0,1,ByBirth,260,0,0
114,0,33.75,0.75,1,1,Financials,Asian,1.0,1,1,3,1,ByBirth,212,0,0
115,1,20.67,1.25,0,0,Energy,Black,1.375,1,1,3,1,ByBirth,140,210,0
116,0,25.42,1.125,1,1,Materials,White,1.29,1,1,2,0,ByBirth,200,0,0
117,1,37.75,7.0,1,1,Materials,Black,11.5,1,1,7,1,ByBirth,300,5,0
118,1,52.5,6.5,1,1,Financials,White,6.29,1,1,15,0,ByBirth,0,11202,1
119,1,57.83,7.04,1,1,CommunicationServices,White,14.0,1,1,6,1,ByBirth,360,1332,1
120,0,20.75,10.335,1,1,InformationTechnology,Black,0.335,1,1,1,1,ByBirth,80,50,1
121,1,39.92,6.21,1,1,Materials,White,0.04,1,1,1,0,ByBirth,200,300,1
122,1,25.67,12.5,1,1,InformationTechnology,White,1.21,1,1,67,1,ByBirth,140,258,1
123,0,24.75,12.5,1,1,ConsumerStaples,White,1.5,1,1,12,1,ByBirth,120,567,1
124,0,44.17,6.665,1,1,Materials,White,7.375,1,1,3,1,ByBirth,0,0,1
125,0,23.5,9.0,1,1,Materials,White,8.5,1,1,5,1,ByBirth,120,0,1
126,1,34.92,5.0,1,1,Utilities,Black,7.5,1,1,6,1,ByBirth,0,1000,1
127,1,47.67,2.5,1,1,CommunicationServices,Asian,2.5,1,1,12,1,ByBirth,410,2510,1
128,1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1
129,1,34.42,4.25,1,1,ConsumerDiscretionary,Asian,3.25,1,1,2,0,ByBirth,274,610,1
130,0,28.42,3.5,1,1,Industrials,White,0.835,1,0,0,0,ByOtherMeans,280,0,1
131,1,67.75,5.5,1,1,Education,Other,13.0,1,1,1,1,ByBirth,0,0,1
132,1,20.42,1.835,1,1,Energy,White,2.25,1,1,1,0,ByBirth,100,150,1
133,0,47.42,8.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth,375,51100,1
134,1,36.25,5.0,1,1,Energy,Asian,2.5,1,1,6,0,ByBirth,0,367,1
135,1,32.67,5.5,1,1,Materials,Black,5.5,1,1,12,1,ByBirth,408,1000,1
136,1,48.58,6.5,1,1,Materials,Black,6.0,1,0,0,1,ByBirth,350,0,1
137,1,39.92,0.54,0,0,ConsumerStaples,White,0.5,1,1,3,0,ByBirth,200,1000,1
138,1,33.58,2.75,1,1,CommunicationServices,White,4.25,1,1,6,0,ByBirth,204,0,1
139,0,18.83,9.5,1,1,Industrials,White,1.625,1,1,6,1,ByBirth,40,600,1
140,0,26.92,13.5,1,1,Materials,Black,5.0,1,1,2,0,ByBirth,0,5000,1
141,0,31.25,3.75,1,1,InformationTechnology,Black,0.625,1,1,9,1,ByBirth,181,0,1
142,0,56.5,16.0,1,1,Research,Latino,0.0,1,1,15,0,ByBirth,0,247,1
143,1,43.0,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth,100,375,1
144,1,22.33,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth,80,278,1
145,1,27.25,1.665,1,1,InformationTechnology,Black,5.085,1,1,9,0,ByBirth,399,827,1
146,1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
147,1,23.25,1.5,1,1,Materials,White,2.375,1,1,3,1,ByBirth,0,582,1
148,0,40.33,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth,0,2300,1
149,0,30.5,6.5,1,1,Energy,Asian,4.0,1,1,7,1,ByBirth,0,3065,1
150,0,52.83,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth,0,2200,1
151,0,46.67,0.46,1,1,InformationTechnology,Black,0.415,1,1,11,1,ByBirth,440,6,1
152,0,58.33,10.0,1,1,Materials,White,4.0,1,1,14,0,ByBirth,0,1602,1
153,1,37.33,6.5,1,1,CommunicationServices,Black,4.25,1,1,12,1,ByBirth,93,0,1
154,1,23.08,2.5,1,1,Energy,White,1.085,1,1,11,1,ByBirth,60,2184,1
155,1,32.75,1.5,1,1,InformationTechnology,Black,5.5,1,1,3,1,ByBirth,0,0,1
156,0,21.67,11.5,0,0,Research,Other,0.0,1,1,11,1,ByBirth,0,0,1
157,0,28.5,3.04,0,0,Utilities,Black,2.54,1,1,1,0,ByBirth,70,0,1
158,0,68.67,15.0,1,1,Education,Other,0.0,1,1,14,0,ByBirth,0,3376,1
159,1,28.0,2.0,1,1,Financials,Black,4.165,1,1,2,1,ByBirth,181,0,1
160,1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
161,1,27.67,2.0,1,1,Utilities,Black,1.0,1,1,4,0,ByBirth,140,7544,1
162,1,44.0,2.0,1,1,CommunicationServices,White,1.75,1,1,2,1,ByBirth,0,15,1
163,1,25.08,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth,395,20,1
164,1,32.0,1.75,0,0,Education,Black,0.04,1,0,0,1,ByBirth,393,0,1
165,0,60.58,16.5,1,1,Materials,White,11.0,1,0,0,1,ByBirth,21,10561,1
166,0,40.83,10.0,1,1,Materials,Black,1.75,1,0,0,0,ByBirth,29,837,1
167,1,19.33,9.5,1,1,Materials,White,1.0,1,0,0,1,ByBirth,60,400,1
168,0,32.33,0.54,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,440,11177,1
169,1,36.67,3.25,1,1,Materials,Black,9.0,1,0,0,1,ByBirth,102,639,1
170,1,37.5,1.125,0,0,Real Estate,White,1.5,0,0,0,1,ByBirth,431,0,1
171,0,25.08,2.54,0,0,ConsumerStaples,White,0.25,1,0,0,1,ByBirth,370,0,1
172,1,41.33,0.0,1,1,Energy,Asian,15.0,1,0,0,0,ByBirth,0,0,1
173,1,56.0,12.5,1,1,Financials,Black,8.0,1,0,0,1,ByBirth,24,2028,1
174,0,49.83,13.585,1,1,Financials,Black,8.5,1,0,0,1,ByBirth,0,0,1
175,1,22.67,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth,100,0,1
176,1,27.0,1.5,0,0,Industrials,White,0.375,1,0,0,1,ByBirth,260,1065,1
177,1,25.0,12.5,1,1,ConsumerStaples,White,3.0,1,0,0,1,ByOtherMeans,20,0,1
178,0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
179,0,18.42,9.25,1,1,Materials,White,1.21,1,1,4,0,ByBirth,60,540,1
180,1,20.17,8.17,1,1,ConsumerStaples,White,1.96,1,1,14,0,ByBirth,60,158,1
181,1,47.67,0.29,1,1,Energy,Asian,15.0,1,1,20,0,ByBirth,0,15000,1
182,0,21.25,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
183,0,20.67,3.0,1,1,Materials,White,0.165,1,1,3,0,ByBirth,100,6,1
184,0,57.08,19.5,1,1,Energy,White,5.5,1,1,7,0,ByBirth,0,3000,1
185,0,22.42,5.665,1,1,Materials,White,2.585,1,1,7,0,ByBirth,129,3257,1
186,1,48.75,8.5,1,1,Energy,Black,12.5,1,1,9,0,ByBirth,181,1655,1
187,1,40.0,6.5,1,1,ConsumerStaples,Asian,3.5,1,1,1,0,ByBirth,0,500,1
188,1,40.58,5.0,1,1,Energy,White,5.0,1,1,7,0,ByBirth,0,3065,1
189,0,28.67,1.04,1,1,Energy,White,2.5,1,1,5,1,ByBirth,300,1430,1
190,0,33.08,4.625,1,1,Materials,Black,1.625,1,1,2,0,ByBirth,0,0,1
191,1,21.33,10.5,1,1,Energy,White,3.0,1,0,0,1,ByBirth,0,0,1
192,1,42.0,0.205,1,1,ConsumerDiscretionary,Black,5.125,1,0,0,0,ByBirth,400,0,1
193,1,41.75,0.96,1,1,Utilities,White,2.5,1,0,0,0,ByBirth,510,600,1
194,1,22.67,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth,80,0,1
195,1,34.5,4.04,0,0,ConsumerDiscretionary,Asian,8.5,1,1,7,1,ByBirth,195,0,1
196,1,28.25,5.04,0,0,Energy,Asian,1.5,1,1,8,1,ByBirth,144,7,1
197,1,33.17,3.165,0,0,Utilities,White,3.165,1,1,3,1,ByBirth,380,0,1
198,1,48.17,7.625,1,1,Industrials,Black,15.5,1,1,12,0,ByBirth,0,790,1
199,1,27.58,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth,370,560,1
200,1,22.58,10.04,1,1,Utilities,White,0.04,1,1,9,0,ByBirth,60,396,1
201,0,24.08,0.5,1,1,Materials,Black,1.25,1,1,1,0,ByBirth,0,678,1
202,0,41.33,1.0,1,1,ConsumerDiscretionary,Asian,2.25,1,0,0,1,ByBirth,0,300,1
203,1,24.83,2.75,1,1,Energy,White,2.25,1,1,6,0,ByBirth,0,600,1
204,0,20.75,10.25,1,1,Materials,White,0.71,1,1,2,1,ByBirth,49,0,1
205,1,36.33,2.125,0,0,Industrials,White,0.085,1,1,1,0,ByBirth,50,1187,1
206,0,35.42,12.0,1,1,Materials,Black,14.0,1,1,8,0,ByBirth,0,6590,1
207,0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
208,1,28.67,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth,381,168,1
209,1,35.17,2.5,1,1,Financials,White,4.5,1,1,7,0,ByBirth,150,1270,1
210,1,39.5,4.25,1,1,Energy,Asian,6.5,1,1,16,0,ByBirth,117,1210,1
211,1,39.33,5.875,1,1,InformationTechnology,Black,10.0,1,1,14,1,ByBirth,399,0,1
212,1,24.33,6.625,0,0,Real Estate,White,5.5,1,0,0,1,ByOtherMeans,100,0,1
213,1,60.08,14.5,1,1,Healthcare,Latino,18.0,1,1,15,1,ByBirth,0,1000,1
214,1,23.08,11.5,1,1,ConsumerDiscretionary,White,3.5,1,1,9,0,ByBirth,56,742,1
215,1,26.67,2.71,0,0,InformationTechnology,White,5.25,1,1,1,0,ByBirth,211,0,1
216,1,48.17,3.5,1,1,ConsumerStaples,White,3.5,1,0,0,0,ByOtherMeans,230,0,1
217,1,41.17,4.04,1,1,InformationTechnology,Black,7.0,1,1,8,0,ByBirth,320,0,1
218,1,55.92,11.5,1,1,Healthcare,Latino,5.0,1,1,5,0,ByBirth,0,8851,1
219,1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
220,0,18.92,9.25,0,0,Energy,White,1.0,1,1,4,1,ByBirth,80,500,1
221,0,50.08,12.54,1,1,ConsumerStaples,White,2.29,1,1,3,1,ByBirth,156,0,1
222,1,65.42,11.0,1,1,Education,Other,20.0,1,1,7,1,ByBirth,22,0,1
223,0,17.58,9.0,1,1,ConsumerStaples,White,1.375,1,0,0,1,ByBirth,0,0,1
224,0,18.83,9.54,1,1,ConsumerStaples,White,0.085,1,0,0,0,ByBirth,100,0,1
225,0,37.75,5.5,1,1,Materials,White,0.125,1,0,0,1,ByBirth,228,0,1
226,1,23.25,4.0,1,1,Energy,Asian,0.25,1,0,0,1,ByBirth,160,0,1
227,1,18.08,5.5,1,1,Financials,White,0.5,1,0,0,0,ByBirth,80,0,1
228,0,22.5,8.46,0,0,Utilities,White,2.46,0,0,0,0,ByBirth,164,0,1
229,1,19.67,0.375,1,1,Materials,White,2.0,1,1,2,1,ByBirth,80,0,1
230,1,22.08,11.0,1,1,InformationTechnology,White,0.665,1,0,0,0,ByBirth,100,0,1
231,1,25.17,3.5,1,1,InformationTechnology,White,0.625,1,1,7,0,ByBirth,0,7059,1
232,0,47.42,3.0,1,1,Utilities,White,13.875,1,1,2,1,ByBirth,519,1704,1
233,1,33.5,1.75,1,1,Utilities,Black,4.5,1,1,4,1,ByBirth,253,857,1
234,1,27.67,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth,487,500,1
235,0,58.42,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
236,0,20.67,1.835,1,1,Materials,White,2.085,1,1,5,0,ByBirth,220,2503,1
237,1,26.17,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth,0,0,1
238,1,21.33,7.5,1,1,ConsumerStaples,White,1.415,1,1,1,0,ByBirth,80,9800,1
239,1,42.83,4.625,1,1,Materials,White,4.58,1,0,0,0,ByOtherMeans,0,0,1
240,1,38.17,10.125,1,1,Utilities,White,2.5,1,1,6,0,ByBirth,520,196,1
241,1,20.5,10.0,0,0,Energy,White,2.5,1,0,0,0,ByOtherMeans,40,0,1
242,1,48.25,25.085,1,1,Industrials,White,1.75,1,1,3,0,ByBirth,120,14,1
243,1,28.33,5.0,1,1,Industrials,White,11.0,1,0,0,1,ByBirth,70,0,1
244,0,18.75,7.5,1,1,Materials,White,2.71,1,1,5,0,ByBirth,0,26726,1
245,1,18.5,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth,120,300,1
246,1,33.17,3.04,0,0,Energy,Black,2.04,1,1,1,1,ByBirth,180,18027,1
247,1,45.0,8.5,1,1,InformationTechnology,Black,14.0,1,1,1,1,ByBirth,88,2000,1
248,0,19.67,0.21,1,1,Materials,Black,0.29,1,1,11,0,ByBirth,80,99,1
249,1,24.5,12.75,1,1,Energy,Asian,4.75,1,1,2,0,ByBirth,73,444,1
250,1,21.83,11.0,1,1,Utilities,White,0.29,1,1,6,0,ByBirth,121,0,1
251,1,40.25,21.5,1,1,Education,Other,20.0,1,1,11,0,ByBirth,0,1200,1
252,1,41.42,5.0,1,1,Materials,Black,5.0,1,1,6,1,ByBirth,470,0,1
253,0,17.83,11.0,1,1,Utilities,Black,1.0,1,1,11,0,ByBirth,0,3000,1
254,1,23.17,11.125,1,1,Utilities,Black,0.46,1,1,1,0,ByBirth,100,0,1
255,1,28.46,0.625,1,1,Financials,White,0.25,0,0,0,0,ByBirth,380,2010,0
256,1,18.17,10.25,1,1,Energy,Black,1.085,0,0,0,0,ByBirth,320,13,0
257,1,20.0,11.045,1,1,Energy,White,2.0,0,0,0,1,ByBirth,136,0,0
258,1,20.0,0.0,1,1,Real Estate,White,0.5,0,0,0,0,ByBirth,144,0,0
259,0,20.75,9.54,1,1,ConsumerDiscretionary,White,0.04,0,0,0,0,ByBirth,200,1000,0
260,0,24.5,1.75,0,0,Energy,White,0.165,0,0,0,0,ByBirth,132,0,0
261,1,32.75,2.335,1,1,Real Estate,Black,5.75,0,0,0,1,ByBirth,292,0,0
262,0,52.17,0.0,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth,0,0,0
263,0,48.17,1.335,1,1,ConsumerDiscretionary,Other,0.335,0,0,0,0,ByBirth,0,120,0
264,0,20.42,10.5,0,0,Utilities,Black,0.0,0,0,0,1,ByBirth,154,32,0
265,1,50.75,0.585,1,1,Healthcare,Latino,0.0,0,0,0,0,ByBirth,145,0,0
266,1,17.08,0.085,0,0,Energy,White,0.04,0,0,0,0,ByBirth,140,722,0
267,1,18.33,1.21,0,0,Education,Other,0.0,0,0,0,0,ByBirth,100,0,0
268,0,32.0,6.0,1,1,Real Estate,White,1.25,0,0,0,0,ByBirth,272,0,0
269,1,59.67,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth,260,0,1
270,1,18.0,0.165,1,1,Materials,Other,0.21,0,0,0,0,ByBirth,200,40,1
271,1,37.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
272,1,32.33,2.5,1,1,Energy,White,1.25,0,0,0,1,ByBirth,280,0,0
273,1,18.08,6.75,0,0,CommunicationServices,White,0.04,0,0,0,0,ByBirth,140,0,0
274,1,38.25,10.125,0,0,Financials,White,0.125,0,0,0,0,ByBirth,160,0,0
275,1,30.67,2.5,1,1,InformationTechnology,Black,2.25,0,0,0,1,ByOtherMeans,340,0,0
276,1,18.58,5.71,1,1,Real Estate,White,0.54,0,0,0,0,ByBirth,120,0,0
277,0,19.17,5.415,1,1,ConsumerDiscretionary,Black,0.29,0,0,0,0,ByBirth,80,484,0
278,0,18.17,10.0,0,0,Materials,Black,0.165,0,0,0,0,ByBirth,340,0,0
279,1,24.58,13.5,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth,0,0,0
280,1,16.25,0.835,1,1,CommunicationServices,White,0.085,1,0,0,0,ByOtherMeans,200,0,0
281,1,21.17,0.875,0,0,Energy,Black,0.25,0,0,0,0,ByBirth,280,204,0
282,1,23.92,0.585,0,0,InformationTechnology,Black,0.125,0,0,0,0,ByBirth,240,1,0
283,1,17.67,4.46,1,1,Energy,White,0.25,0,0,0,0,ByOtherMeans,80,0,0
